u v
4.591253165414911908e-01 5.150300601202404405e-01
4.609218436873747105e-01 5.132939258999476007e-01
4.611877066101858769e-01 5.130260521042083743e-01
4.629258517034067211e-01 5.113482739095299712e-01
4.632506518200452672e-01 5.110220440881763082e-01
4.649298597194388427e-01 5.094028800077627928e-01
4.653141253902985941e-01 5.090180360721442421e-01
4.669338677354709644e-01 5.074577495109919845e-01
4.673781045359023389e-01 5.070140280561121759e-01
4.689378757515030305e-01 5.055128867327561837e-01
4.694425697150304555e-01 5.050100200400801098e-01
4.709418837675349856e-01 5.035682951774412830e-01
4.715075040407352702e-01 5.030060120240480437e-01
4.729458917835671627e-01 5.016239776909235948e-01
4.735728928164660290e-01 5.010020040080159776e-01
4.749498997995992289e-01 4.996799365789436620e-01
4.756387231660521575e-01 4.989979959919839114e-01
4.769539078156311840e-01 4.977361737009972642e-01
4.777049837364761298e-01 4.969939879759518453e-01
4.789579158316632501e-01 4.957926905454500544e-01
4.797716644572577183e-01 4.949899799599197792e-01
4.809619238476953718e-01 4.938494882901122152e-01
4.818387563442589339e-01 4.929859719438877130e-01
4.829659318637273824e-01 4.919065678514544793e-01
4.839062513386276354e-01 4.909819639278556469e-01
4.849699398797595040e-01 4.899639299248721436e-01
4.859741421737494571e-01 4.889779559118235808e-01
4.869739478957916257e-01 4.880215750178364953e-01
